time,open,high,low,close,volume
2025-05-19T00:00:00-04:00,207.99,209.47,204.29,208.75,1223105
2025-05-20T00:00:00-04:00,207.85,208.465,205.04,206.87,1178321
2025-05-21T00:00:00-04:00,205.24,207.03,200.75,202.24,1639501
2025-05-22T00:00:00-04:00,200.715,202.65,199.71,201.37,1380855
2025-05-23T00:00:00-04:00,193.75,197.69,193.49,195.3,2131818
2025-05-27T00:00:00-04:00,198.46,200.725,197.435,200.28,1290367
2025-05-28T00:00:00-04:00,200.7,202.72,199.9,200.47,617957
2025-05-29T00:00:00-04:00,203.58,203.72,198.56,199.94,1210966
2025-05-30T00:00:00-04:00,199.345,201.95,196.82,200.64,1240825
2025-06-02T00:00:00-04:00,200.21,202.08,200.13,201.685,839441
2025-06-03T00:00:00-04:00,201.49,203.76,200.955,203.33,933488
2025-06-04T00:00:00-04:00,202.92,206.23,202.215,202.83,1245814
2025-06-05T00:00:00-04:00,203.49,204.74,200.17,200.68,1847413
2025-06-06T00:00:00-04:00,203.01,205.67,202.085,203.96,1171926
2025-06-09T00:00:00-04:00,204.41,206.0,200.045,201.425,1374703
2025-06-10T00:00:00-04:00,200.62,204.33,200.62,202.68,1016332
2025-06-11T00:00:00-04:00,203.31,204.48,198.43,198.82,1352311
2025-06-12T00:00:00-04:00,198.98,199.68,197.37,199.095,1507561
2025-06-13T00:00:00-04:00,199.69,200.3,195.78,196.37,1072719
2025-06-16T00:00:00-04:00,197.31,198.66,196.63,198.42,1084142
2025-06-17T00:00:00-04:00,197.215,198.37,195.22,195.62,799393
2025-06-18T00:00:00-04:00,195.875,197.535,195.07,196.295,917701
2025-06-20T00:00:00-04:00,198.015,201.66,196.86,201.03,1310599
2025-06-23T00:00:00-04:00,201.625,202.29,198.96,201.53,1178964
2025-06-24T00:00:00-04:00,202.59,203.435,200.22,200.3,1698396
2025-06-25T00:00:00-04:00,201.425,203.67,200.67,201.55,973861
2025-06-26T00:00:00-04:00,201.455,202.575,199.46,201.05,1249214
2025-06-27T00:00:00-04:00,201.905,203.2,200.2,201.05,1519293
2025-06-30T00:00:00-04:00,202.02,207.36,199.27,205.17,1874120
2025-07-01T00:00:00-04:00,206.725,210.18,206.2,207.815,2220671
2025-07-02T00:00:00-04:00,208.995,213.32,208.15,212.4,1536101
2025-07-03T00:00:00-04:00,212.17,214.625,211.825,213.5,1215376
2025-07-07T00:00:00-04:00,212.81,216.2,208.835,209.94,1353483
2025-07-08T00:00:00-04:00,210.01,211.43,208.47,210.095,1036309
2025-07-09T00:00:00-04:00,209.51,211.3,207.24,211.13,950117
2025-07-10T00:00:00-04:00,210.51,213.475,210.24,212.36,1139672
2025-07-11T00:00:00-04:00,210.37,212.12,209.87,211.08,813325
2025-07-14T00:00:00-04:00,209.945,210.85,207.57,208.65,853368
2025-07-15T00:00:00-04:00,209.215,211.89,208.965,209.025,777589
2025-07-16T00:00:00-04:00,210.295,212.375,208.66,210.16,974450
2025-07-17T00:00:00-04:00,210.64,211.795,209.61,210.13,1067469
2025-07-18T00:00:00-04:00,210.73,211.78,209.73,211.16,731112
2025-07-21T00:00:00-04:00,212.12,215.775,211.69,212.53,946141
2025-07-22T00:00:00-04:00,213.24,214.635,212.255,214.43,964832
2025-07-23T00:00:00-04:00,215.02,215.115,212.45,214.23,779641
2025-07-24T00:00:00-04:00,213.9,215.68,213.53,213.765,973782
2025-07-25T00:00:00-04:00,214.7,215.24,213.4,213.96,728795
2025-07-28T00:00:00-04:00,214.04,214.845,213.07,214.0,919301
2025-07-29T00:00:00-04:00,214.175,214.8,210.88,211.27,1107896
2025-07-30T00:00:00-04:00,211.895,212.37,207.73,208.96,828809
2025-07-31T00:00:00-04:00,208.425,209.84,207.18,207.85,1632958
2025-08-01T00:00:00-04:00,210.865,213.56,201.5,202.3,1994299
2025-08-04T00:00:00-04:00,204.505,207.85,201.68,203.35,1875434
2025-08-05T00:00:00-04:00,203.43,205.32,202.165,202.93,968620
2025-08-06T00:00:00-04:00,205.63,215.38,205.61,213.275,2182167
2025-08-07T00:00:00-04:00,218.92,220.84,216.62,220.17,2508756
2025-08-08T00:00:00-04:00,220.89,230.99,219.3,229.365,2830643
